Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TFile.java;src/java/org/apache/hadoop/io/file/tfile/TFile.java;MODIFY;1;0;7;10;128;1092.0;240.0;6717.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;Utils.java;src/java/org/apache/hadoop/io/file/tfile/Utils.java;MODIFY;1;0;1;0;22;248.0;74.0;1724.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestTFile.java;src/test/core/org/apache/hadoop/io/file/tfile/TestTFile.java;MODIFY;1;1;3;3;28;345.0;44.0;2885.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestTFileJClassComparatorByteArrays.java;src/test/core/org/apache/hadoop/io/file/tfile/TestTFileJClassComparatorByteArrays.java;MODIFY;1;1;2;1;3;24.0;3.0;195.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestVLong.java;src/test/core/org/apache/hadoop/io/file/tfile/TestVLong.java;MODIFY;1;1;1;1;13;124.0;22.0;1095.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6124;5f53fd8eadbd047a2116be590c00f3384710adfa;0;Tsz-wo Sze;2009-08-04 19:01:51;Tsz-wo Sze;2009-08-04 19:01:51;fix:1 warning:1 detection:1 test:1 patch:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7216.0;0.0;37192.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6124;5f53fd8eadbd047a2116be590c00f3384710adfa;0;Tsz-wo Sze;2009-08-04 19:01:51;Tsz-wo Sze;2009-08-04 19:01:51;fix:1 warning:1 detection:1 test:1 patch:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;test-patch.sh;src/test/bin/test-patch.sh;MODIFY;1;0;7;2;15;666.0;68.0;2636.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6180;09d826ebed0394d80dd24432a3bbf894efe46265;0;Hairong Kuang;2009-08-07 17:59:57;Hairong Kuang;2009-08-07 17:59:57;slowed:1 many:1 files:1 filename:1 moved:1 trash:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7219.0;0.0;37192.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6180;09d826ebed0394d80dd24432a3bbf894efe46265;0;Hairong Kuang;2009-08-07 17:59:57;Hairong Kuang;2009-08-07 17:59:57;slowed:1 many:1 files:1 filename:1 moved:1 trash:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;Trash.java;src/java/org/apache/hadoop/fs/Trash.java;MODIFY;1;0;16;9;14;205.0;44.0;1430.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6180;09d826ebed0394d80dd24432a3bbf894efe46265;0;Hairong Kuang;2009-08-07 17:59:57;Hairong Kuang;2009-08-07 17:59:57;slowed:1 many:1 files:1 filename:1 moved:1 trash:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestTrash.java;src/test/core/org/apache/hadoop/fs/TestTrash.java;MODIFY;1;1;143;7;15;371.0;40.0;2652.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6177;d70dd1a2df60fc85fdb42b105be81249baa38fc1;0;Hairong Kuang;2009-08-11 16:26:55;Hairong Kuang;2009-08-11 16:26:55;return:1 position:1 greater:1 file:1 size:1 contributed:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;6;3;0;7224.0;0.0;37213.0
